id,repo_name,owner,github_url,commit_hash_used
1,datahub,datahub-project,https://github.com/datahub-project/datahub,1194f910bdd074b1a34a34cc2027eb9cadea8dba
2,RSSHub,DIYgod,https://github.com/DIYgod/RSSHub,af2252a8c565c98c8fbd0f4b3e3e426d8abc98d3
3,Flowise,FlowiseAI,https://github.com/FlowiseAI/Flowise,a88337cc8308b7d66c8fbff654d482d540956b98
4,hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,f8cd8bfce70fedaa2b10574a102142c527fd8d5c
5,nocodb,nocodb,https://github.com/nocodb/nocodb,23f6cc8b4a2b2e8fc5632b30e50de882a8ceda2d
6,directus,directus,https://github.com/directus/directus,ccf2f3d38ffbcabeb5ffa37193fc72eb92b7bf21
7,audiobookshelf,advplyr,https://github.com/advplyr/audiobookshelf,81572adab6b81b5564e0d39fa4286e568adf7b1d
8,cal.com,calcom,https://github.com/calcom/cal.com,842ba09896dc56df00afec8dc324de2a93cf6356
9,formbricks,formbricks,https://github.com/formbricks/formbricks,6d8adc616851abc74114e805b0b233304824f946
10,novu,novuhq,https://github.com/novuhq/novu,c898a580145a7b1dff2e0204ca05b3229de81ca3
11,activepieces,activepieces,https://github.com/activepieces/activepieces,0b22ec13657852ff68734c6ed69d0a37d17bcc23
12,rallly,lukevella,https://github.com/lukevella/rallly,a38c1d85878c0534f80a5ceae2a6c2e8cd44c0e6
13,memos,usememos,https://github.com/usememos/memos,2595e32f83c12f579ed9bcd9ea976c23f58d200b
14,mindsdb,mindsdb,https://github.com/mindsdb/mindsdb,fce32cd31f0259a7c528c4b499d7b9663cb471a7
15,netbox,netbox-community,https://github.com/netbox-community/netbox,b62f2347c59f0791de1c5145cc499057905325de
16,paperless-ngx,paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,d7b2e002ce8abcf68fd5e3346193bc624458ea24
17,authentik,goauthentik,https://github.com/goauthentik/authentik,87505517ee6ec9ee492e5276f57a76ff5b89f0b5
18,healthchecks,healthchecks,https://github.com/healthchecks/healthchecks,f37aa3eac866b48c888bad2b9f9ab832350858b2
19,nginx-ui,0xJacky,https://github.com/0xJacky/nginx-ui,75947abf6bd6bc6276092afbdd7c7c5f961a37d2
20,budibase,Budibase,https://github.com/Budibase/budibase,0680be72a6016c5b23d7b7cec9da8d9a69fe46f0
21,plane,makeplane,https://github.com/makeplane/plane,7c336a65c4eb7bb0c4fbbca512ff84fd35b3fedf
22,frigate,blakeblackshear,https://github.com/blakeblackshear/frigate,f141b585bcbaa3e2b5831bc12cff979156f14aec
23,jellyfin,jellyfin,https://github.com/jellyfin/jellyfin,285cd708f61fd58ec7ca1c8ff8fdd37ee76b55b9
24,hertzbeat,dromara,https://github.com/dromara/hertzbeat,63c187488f0b34701349d21931489f8cfefc964e
25,reposilite,dzikoysk,https://github.com/dzikoysk/reposilite,f3120e728b4994413b3797cb993e915af576f5e2
